state_id,state_name,date,month_name,temperature_2m_mean
01,Alabama,2021-04-12 04:00:00+00:00,April,18.2945
01,Alabama,2021-04-13 04:00:00+00:00,April,20.625751
01,Alabama,2021-04-14 04:00:00+00:00,April,17.63617
01,Alabama,2021-04-15 04:00:00+00:00,April,18.415335
01,Alabama,2021-04-16 04:00:00+00:00,April,15.884084
01,Alabama,2021-04-17 04:00:00+00:00,April,17.434084
01,Alabama,2021-04-18 04:00:00+00:00,April,16.471582
01,Alabama,2021-04-19 04:00:00+00:00,April,15.454917
01,Alabama,2021-04-20 04:00:00+00:00,April,17.66117
01,Alabama,2021-04-21 04:00:00+00:00,April,13.452835
01,Alabama,2021-04-22 04:00:00+00:00,April,12.032001
01,Alabama,2021-04-23 04:00:00+00:00,April,15.629917
01,Alabama,2021-04-24 04:00:00+00:00,April,19.64242
01,Alabama,2021-04-25 04:00:00+00:00,April,17.179914
01,Alabama,2021-04-26 04:00:00+00:00,April,17.769499
01,Alabama,2021-04-27 04:00:00+00:00,April,21.192417
01,Alabama,2021-04-28 04:00:00+00:00,April,23.038252
01,Alabama,2021-04-29 04:00:00+00:00,April,22.819502
01,Alabama,2021-04-30 04:00:00+00:00,April,21.59867
01,Alabama,2021-05-01 04:00:00+00:00,May,20.20492
01,Alabama,2021-05-02 04:00:00+00:00,May,21.896585
01,Alabama,2021-05-03 04:00:00+00:00,May,23.150751
01,Alabama,2021-05-04 04:00:00+00:00,May,23.313253
01,Alabama,2021-05-05 04:00:00+00:00,May,21.919502
01,Alabama,2021-05-06 04:00:00+00:00,May,18.357
01,Alabama,2021-05-07 04:00:00+00:00,May,16.821585
01,Alabama,2021-05-08 04:00:00+00:00,May,18.604918
01,Alabama,2021-05-09 04:00:00+00:00,May,22.282
01,Alabama,2021-05-10 04:00:00+00:00,May,22.08825
01,Alabama,2021-05-11 04:00:00+00:00,May,21.727835
01,Alabama,2021-05-12 04:00:00+00:00,May,19.973667
01,Alabama,2021-05-13 04:00:00+00:00,May,16.436167
01,Alabama,2021-05-14 04:00:00+00:00,May,17.221582
01,Alabama,2021-05-15 04:00:00+00:00,May,18.782
01,Alabama,2021-05-16 04:00:00+00:00,May,20.311167
01,Alabama,2021-05-17 04:00:00+00:00,May,21.911165
01,Alabama,2021-05-18 04:00:00+00:00,May,23.632002
01,Alabama,2021-05-19 04:00:00+00:00,May,24.607
01,Alabama,2021-05-20 04:00:00+00:00,May,24.561163
01,Alabama,2021-05-21 04:00:00+00:00,May,24.748667
01,Alabama,2021-05-22 04:00:00+00:00,May,24.359083
01,Alabama,2021-05-23 04:00:00+00:00,May,24.64242
01,Alabama,2021-05-24 04:00:00+00:00,May,25.477835
01,Alabama,2021-05-25 04:00:00+00:00,May,26.63825
01,Alabama,2021-05-26 04:00:00+00:00,May,25.942415
01,Alabama,2021-05-27 04:00:00+00:00,May,26.51325
01,Alabama,2021-05-28 04:00:00+00:00,May,26.584084
01,Alabama,2021-05-29 04:00:00+00:00,May,22.932001
01,Alabama,2021-05-30 04:00:00+00:00,May,19.82575
01,Alabama,2021-05-31 04:00:00+00:00,May,23.150751
01,Alabama,2021-06-01 04:00:00+00:00,June,25.321585
01,Alabama,2021-06-02 04:00:00+00:00,June,25.886168
01,Alabama,2021-06-03 04:00:00+00:00,June,24.665335
01,Alabama,2021-06-04 04:00:00+00:00,June,24.031998
01,Alabama,2021-06-05 04:00:00+00:00,June,24.525751
01,Alabama,2021-06-06 04:00:00+00:00,June,23.202833
01,Alabama,2021-06-07 04:00:00+00:00,June,25.0945
01,Alabama,2021-06-08 04:00:00+00:00,June,25.45075
01,Alabama,2021-06-09 04:00:00+00:00,June,25.656998
01,Alabama,2021-06-10 04:00:00+00:00,June,24.821587
01,Alabama,2021-06-11 04:00:00+00:00,June,26.361166
01,Alabama,2021-06-12 04:00:00+00:00,June,26.400751
01,Alabama,2021-06-13 04:00:00+00:00,June,27.76117
01,Alabama,2021-06-14 04:00:00+00:00,June,26.7945
01,Alabama,2021-06-15 04:00:00+00:00,June,28.344503
01,Alabama,2021-06-16 04:00:00+00:00,June,25.248667
01,Alabama,2021-06-17 04:00:00+00:00,June,25.404917
01,Alabama,2021-06-18 04:00:00+00:00,June,25.617418
01,Alabama,2021-06-19 04:00:00+00:00,June,23.81742
01,Alabama,2021-06-20 04:00:00+00:00,June,25.877832
01,Alabama,2021-06-21 04:00:00+00:00,June,25.413252
01,Alabama,2021-06-22 04:00:00+00:00,June,24.740335
01,Alabama,2021-06-23 04:00:00+00:00,June,23.817415
